F-value for bike: [3668.59653571], p-value: [6.4898415e-200]
Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
     7     17  -0.3184    0.0 -0.3384 -0.2985   True
     7     18  -0.3173    0.0 -0.3373 -0.2974   True
     8      9   0.0008    1.0 -0.0192  0.0208  False
     8     10  -0.4291    0.0 -0.4491 -0.4092   True
     8     11  -0.4296    0.0 -0.4496 -0.4097   True
     8     12  -0.4281    0.0 -0.4481 -0.4081   True
     8     13  -0.4058    0.0 -0.4257 -0.3858   True
     8     14  -0.4061    0.0 -0.4261 -0.3862   True
     8     15  -0.4049    0.0 -0.4249  -0.385   True
     8     16  -0.3167    0.0 -0.3367 -0.2967   True
     8     17  -0.3172    0.0 -0.3371 -0.2972   True
     8     18  -0.3161    0.0  -0.336 -0.2961   True
     9     10  -0.4299    0.0 -0.4499 -0.4099   True
     9     11  -0.4304    0.0 -0.4504 -0.4105   True
     9     12  -0.4289    0.0 -0.4489 -0.4089   True
     9     13  -0.4065    0.0 -0.4265 -0.3866   True
     9     14  -0.4069    0.0 -0.4269 -0.3869   True
     9     15  -0.4057    0.0 -0.4257 -0.3858   True
     9     16  -0.3175    0.0 -0.3374 -0.2975   True
     9     17   -0.318    0.0 -0.3379  -0.298   True
     9     18  -0.3168    0.0 -0.3368 -0.2969   True
    10     11  -0.0005    1.0 -0.0205  0.0195  False
    10     12    0.001    1.0  -0.019   0.021  False
    10     13   0.0234 0.0065  0.0034  0.0433   True
    10     14    0.023 0.0084   0.003   0.043   True
    10     15   0.0242 0.0038  0.0042  0.0441   True
    10     16   0.1124    0.0  0.0925  0.1324   True
    10     17   0.1119    0.0   0.092  0.1319   True
    10     18   0.1131    0.0  0.0931   0.133   True
    11     12   0.0015    1.0 -0.0184  0.0215  False
    11     13   0.0239 0.0047  0.0039  0.0439   True
    11     14   0.0235  0.006  0.0035  0.0435   True
    11     15   0.0247 0.0027  0.0047  0.0447   True
    11     16    0.113    0.0   0.093  0.1329   True
    11     17   0.1125    0.0  0.0925  0.1324   True
    11     18   0.1136    0.0  0.0936  0.1335   True
    12     13   0.0224 0.0125  0.0024  0.0423   True
    12     14    0.022 0.0158   0.002  0.0419   True
    12     15   0.0232 0.0075  0.0032  0.0431   True
    12     16   0.1114    0.0  0.0915  0.1314   True
    12     17   0.1109    0.0   0.091  0.1309   True
    12     18   0.1121    0.0  0.0921   0.132   True
    13     14  -0.0004    1.0 -0.0203  0.0196  False
    13     15   0.0008    1.0 -0.0192  0.0208  False
    13     16   0.0891    0.0  0.0691   0.109   True
    13     17   0.0886    0.0  0.0686  0.1085   True
    13     18   0.0897    0.0  0.0697  0.1097   True
    14     15   0.0012    1.0 -0.0188  0.0212  False
    14     16   0.0894    0.0  0.0695  0.1094   True
    14     17   0.0889    0.0   0.069  0.1089   True
    14     18   0.0901    0.0  0.0701    0.11   True
    15     16   0.0883    0.0  0.0683  0.1082   True
    15     17   0.0878    0.0  0.0678  0.1077   True
    15     18   0.0889    0.0  0.0689  0.1089   True
    16     17  -0.0005    1.0 -0.0205  0.0195  False
    16     18   0.0006    1.0 -0.0193  0.0206  False
    17     18   0.0011    1.0 -0.0188  0.0211  False
----------------------------------------------------

F-value for parkinsons: [2264.7955114], p-value: [5.22122589e-183]
Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     1      2  -0.0019    1.0 -0.0306  0.0267  False
     1      3   0.0147 0.9336 -0.0139  0.0434  False
     1      4   0.4233    0.0  0.3946  0.4519   True
     1      5   0.4208    0.0  0.3921  0.4494   True
     1      6   0.4181    0.0  0.3895  0.4468   True
     1      7   0.5352    0.0  0.5066  0.5638   True
     1      8   0.5336    0.0   0.505  0.5622   True
     1      9   0.5317    0.0   0.503  0.5603   True
     1     10  -0.2238    0.0 -0.2525 -0.1952   True
     1     11  -0.2256    0.0 -0.2543  -0.197   True
     1     12  -0.2316    0.0 -0.2602  -0.203   True
     1     13   0.2082    0.0  0.1795  0.2368   True
     1     14   0.2058    0.0  0.1771  0.2344   True
     1     15   0.2043    0.0  0.1757  0.2329   True
     1     16   0.4039    0.0  0.3752  0.4325   True
     1     17   0.4024    0.0  0.3737   0.431   True
     1     18   0.4005    0.0  0.3719  0.4291   True
     2      3   0.0167 0.8324  -0.012  0.0453  False
     2      4   0.4252    0.0  0.3966  0.4539   True
